CountyName,HUC_8,area_ha_piece,county_area_ha,frac_of_county
Jefferson,07100009,9360.821073604151,113085.40848499315,0.08277655976143347
Johnson,07080206,18950.94412717995,161293.57721992582,0.11749348271531049
Johnson,07080208,41579.70204594365,161293.57721992582,0.25778895082256875
Johnson,07080209,100762.9310468029,161293.57721992582,0.624717566462125
Jones,07060006,88574.12701916407,149397.6783132335,0.5928748560165426
Jones,07080102,9587.867620270594,149397.6783132335,0.06417681806385414
Jones,07080103,50419.0001330896,149397.6783132335,0.3374818183411056
Jones,07080206,816.6835407096902,149397.6783132335,0.00546650757850063
Keokuk,07080105,29810.424103801608,150142.84163502968,0.19854708875342458
Keokuk,07080106,65774.6230997836,150142.84163502968,0.4380803132770719
Keokuk,07080107,29658.577138968754,150142.84163502968,0.19753573874046848
Keokuk,07080209,24899.217292475612,150142.84163502968,0.16583685922903435
Kossuth,07020009,65517.08861056205,252220.75784680847,0.2597608903005328
Kossuth,07100002,693.9247775091542,252220.75784680847,0.002751259584790495
Kossuth,07100003,160004.33796627744,252220.75784680847,0.6343821156205526
Kossuth,07100005,26005.406492459104,252220.75784680847,0.10310573449412133
Lee,07080104,77408.50416629961,139477.99961006574,0.554987197857068
Lee,07080107,14612.804427846932,139477.99961006574,0.10476780903582994
Lee,07100009,47456.34497928805,139477.99961006574,0.3402425121665084
Linn,07060006,2635.513657359689,187591.58379555494,0.014049210545777902
Linn,07080102,39053.87581059821,187591.58379555494,0.2081856500191434
Linn,07080103,495.5807013102455,187591.58379555494,0.002641806691340427
Linn,07080205,66483.01959548864,187591.58379555494,0.35440299746040094
Linn,07080206,68366.34512557446,187591.58379555494,0.36444249652523286
Linn,07080208,10557.24890522341,187591.58379555494,0.056277838758103015
Louisa,07080101,12273.819856935164,108093.70566849578,0.11354796082740277
Louisa,07080104,7370.274387853584,108093.70566849578,0.06818412175133405
Louisa,07080107,5976.471465900519,108093.70566849578,0.05528972689889361
Louisa,07080206,1447.5148147208936,108093.70566849578,0.013391296058996855
Louisa,07080209,81025.62514308553,108093.70566849578,0.7495868944633719
Lucas,07100008,47910.386764987365,112428.90685177011,0.4261393987237994
Lucas,07100009,27697.739030783905,112428.90685177011,0.24635780784830982
Lucas,10280201,36820.781055998814,112428.90685177011,0.32750279342789057
Lyon,10170203,33316.83630114027,152376.8656238701,0.2186476022113499
Lyon,10170204,119060.02932272971,152376.8656238701,0.7813523977886493
Madison,07100006,1040.489480377728,145503.68915598796,0.007150949136844675
Madison,07100007,4113.808530290078,145503.68915598796,0.028272881286740773
Madison,07100008,132907.19878877586,145503.68915598796,0.9134283780687652
Madison,10280102,7442.192356544232,145503.68915598796,0.05114779150764894
Mahaska,07080105,45102.07999303609,148473.59034545426,0.3037717340039858
Mahaska,07080106,42836.03328168228,148473.59034545426,0.28850944590223393
Mahaska,07080107,11380.974981239247,148473.59034545426,0.07665319438129754
Mahaska,07080209,467.16708905154803,148473.59034545426,0.003146465899858608
Mahaska,07100009,48687.33500044514,148473.59034545426,0.32791915981262443
Marion,07080105,14329.713550082022,147612.95513594043,0.09707625957955678
Marion,07100008,72540.23822462808,147612.95513594043,0.49142189557701066
Marion,07100009,60743.00336123048,147612.95513594043,0.4115018448434336
Marshall,07080105,6312.598406219863,148351.4851194047,0.04255163607657178
Marshall,07080106,19581.544736675303,148351.4851194047,0.13199426160725367
Marshall,07080205,4133.944185659506,148351.4851194047,0.02786587665322116
Marshall,07080207,28070.542518237424,148351.4851194047,0.1892164577634264
Marshall,07080208,90252.85527261246,148351.4851194047,0.608371767899526
Mills,10230006,7208.814295919259,114103.24538655956,0.06317799525769141
Mills,10240001,38950.084060302965,114103.24538655956,0.3413582490870235
Mills,10240002,67944.3470303372,114103.24538655956,0.5954637556552839
Mitchell,07060002,396.9262507516694,121562.51061877537,0.003265202805793022
Mitchell,07080102,14272.52673447135,121562.51061877537,0.11740895002761612
Mitchell,07080201,104869.77733224923,121562.51061877537,0.8626818975557754
Mitchell,07080202,2023.2803013031762,121562.51061877537,0.01664394961081595
Monona,10230001,80936.94625356684,181079.20906033227,0.4469698463648587
Monona,10230003,28123.74938443476,181079.20906033227,0.15531186341257125
Monona,10230004,38896.927423524256,181079.20906033227,0.2148061482340831
Monona,10230005,27050.786426494844,181079.20906033227,0.14938648432842458
Monona,10230007,6070.799572311574,181079.20906033227,0.03352565766006242
Monroe,07100009,109701.25791423276,112336.34563100757,0.9765428748641128
Monroe,10280201,2635.087716774674,112336.34563100757,0.023457125135885902
Montgomery,10240002,26229.25771121545,110090.67349086788,0.23825140567780423
Montgomery,10240003,28988.913533563165,110090.67349086788,0.2633185229443421
Montgomery,10240005,24243.067966621962,110090.67349086788,0.22021000687794817
Montgomery,10240009,30324.81319265566,110090.67349086788,0.2754530627444216
Montgomery,10240010,304.62108681157815,110090.67349086788,0.002767001755483372
Muscatine,07080101,36281.66724333542,116312.47662890237,0.31193272033139585
Muscatine,07080206,74569.34518168868,116312.47662890237,0.6411121776695022
Muscatine,07080209,5461.464203878453,116312.47662890237,0.04695510199910351
O'Brien,10170204,273.07400504231373,148474.79433347814,0.001839194364728215
O'Brien,10230002,41939.77191023662,148474.79433347814,0.2824706516584817
O'Brien,10230003,106261.94841819935,148474.79433347814,0.715690153976791
Osceola,10170204,39115.046951538316,103452.09085335005,0.3780981769328026
Osceola,10230002,5768.941218784576,103452.09085335005,0.05576437528906419
Osceola,10230003,58568.10268302741,103452.09085335005,0.5661374477781357
Page,10240002,1601.8393488407849,138691.69742303065,0.0115496412446012
Page,10240003,22369.41684849833,138691.69742303065,0.16128879568232715
Page,10240005,56619.63104814279,138691.69742303065,0.40824095529990057
Page,10240009,26561.38322908388,138691.69742303065,0.1915138665299311
Page,10240010,31539.426948464865,138691.69742303065,0.22740674124323998
Palo Alto,07100002,125959.40923903442,147435.3884593569,0.8543363337341312
Palo Alto,07100003,4270.531087024033,147435.3884593569,0.028965441280071492
Palo Alto,07100004,6084.918954524346,147435.3884593569,0.04127176669122257
Palo Alto,07100006,1321.2742072787917,147435.3884593569,0.008961716865167847
Palo Alto,10230003,9799.254971495313,147435.3884593569,0.06646474142940687
Plymouth,10170203,58012.63934916095,223998.27985485262,0.25898698591235714
Plymouth,10230001,15634.888042339195,223998.27985485262,0.06979914333480756
Plymouth,10230002,86261.13920524126,223998.27985485262,0.3850973286988504
